"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Keskituulen nopeus [m/s]","Tuulen suunnan keskiarvo [°]","Ilmanpaineen keskiarvo [hPa]"
"Helsinki Kaisaniemi","2020","4","1","00:00","2","6.2","242","1003.7"
"Helsinki Kaisaniemi","2020","4","1","01:00","2.8","5.6","246","1002.3"
"Helsinki Kaisaniemi","2020","4","1","02:00","3.1","5.3","247","1001.1"
"Helsinki Kaisaniemi","2020","4","1","03:00","3.2","3.9","264","1000.2"
"Helsinki Kaisaniemi","2020","4","1","04:00","3","3.9","275","999.4"
"Helsinki Kaisaniemi","2020","4","1","05:00","2.7","4.6","283","999.1"
"Helsinki Kaisaniemi","2020","4","1","06:00","2.2","3.8","281","999"
"Helsinki Kaisaniemi","2020","4","1","07:00","1.8","3.8","274","998.6"
"Helsinki Kaisaniemi","2020","4","1","08:00","1.6","4.3","278","998.3"
"Helsinki Kaisaniemi","2020","4","1","09:00","2.3","5","280","998.1"
"Helsinki Kaisaniemi","2020","4","1","10:00","3.3","5.8","284","997.8"
"Helsinki Kaisaniemi","2020","4","1","11:00","4.6","5.9","287","997.3"
"Helsinki Kaisaniemi","2020","4","1","12:00","5.1","6.8","285","997.4"
"Helsinki Kaisaniemi","2020","4","1","13:00","5.4","6.7","278","997.2"
"Helsinki Kaisaniemi","2020","4","1","14:00","6","7.3","286","997.2"
"Helsinki Kaisaniemi","2020","4","1","15:00","6.7","7.7","288","997.2"
"Helsinki Kaisaniemi","2020","4","1","16:00","7.2","7.7","299","997.1"
"Helsinki Kaisaniemi","2020","4","1","17:00","7.4","7.8","298","996.9"
"Helsinki Kaisaniemi","2020","4","1","18:00","7.1","7.6","300","997"
"Helsinki Kaisaniemi","2020","4","1","19:00","6.6","7.4","306","997.1"
"Helsinki Kaisaniemi","2020","4","1","20:00","5.5","6.7","309","997.3"
"Helsinki Kaisaniemi","2020","4","1","21:00","4.3","4.2","302","997.7"
"Helsinki Kaisaniemi","2020","4","1","22:00","3.6","4.3","277","997.9"
"Helsinki Kaisaniemi","2020","4","1","23:00","2.7","4.2","278","997.8"
"Helsinki Kaisaniemi","2020","4","2","00:00","2.1","3","277","997.3"
"Helsinki Kaisaniemi","2020","4","2","01:00","1.9","2.9","261","996.8"
"Helsinki Kaisaniemi","2020","4","2","02:00","2.3","2","241","996.1"
"Helsinki Kaisaniemi","2020","4","2","03:00","2.6","2.7","206","995.1"
"Helsinki Kaisaniemi","2020","4","2","04:00","2.7","3.2","197","994.1"
"Helsinki Kaisaniemi","2020","4","2","05:00","3","3.7","201","992.8"
"Helsinki Kaisaniemi","2020","4","2","06:00","3.6","4.5","218","991.8"
"Helsinki Kaisaniemi","2020","4","2","07:00","3.9","4.9","225","990.9"
"Helsinki Kaisaniemi","2020","4","2","08:00","3.8","5.8","224","990.1"
"Helsinki Kaisaniemi","2020","4","2","09:00","3.9","4.8","225","989.5"
"Helsinki Kaisaniemi","2020","4","2","10:00","4.2","4.4","223","989.1"
"Helsinki Kaisaniemi","2020","4","2","11:00","4.4","5","225","988.6"
"Helsinki Kaisaniemi","2020","4","2","12:00","4.8","5.2","221","988.2"
"Helsinki Kaisaniemi","2020","4","2","13:00","5","5.9","224","987.8"
"Helsinki Kaisaniemi","2020","4","2","14:00","5.1","6.8","221","987.4"
"Helsinki Kaisaniemi","2020","4","2","15:00","5.7","7.3","220","987"
"Helsinki Kaisaniemi","2020","4","2","16:00","5.7","7.5","227","986.6"
"Helsinki Kaisaniemi","2020","4","2","17:00","5.3","8.1","231","986.3"
"Helsinki Kaisaniemi","2020","4","2","18:00","5.1","8.3","239","985.7"
"Helsinki Kaisaniemi","2020","4","2","19:00","4.8","7.5","229","984.8"
"Helsinki Kaisaniemi","2020","4","2","20:00","5","8.6","223","983.4"
"Helsinki Kaisaniemi","2020","4","2","21:00","5.2","10.3","220","982.2"
"Helsinki Kaisaniemi","2020","4","2","22:00","5.1","9.1","214","981.3"
"Helsinki Kaisaniemi","2020","4","2","23:00","5","9","207","979.8"
"Helsinki Kaisaniemi","2020","4","3","00:00","4.7","9.4","208","977.9"
"Helsinki Kaisaniemi","2020","4","3","01:00","4.2","8.4","231","977.2"
"Helsinki Kaisaniemi","2020","4","3","02:00","3.7","9","232","977"
"Helsinki Kaisaniemi","2020","4","3","03:00","3.7","7.3","240","977.1"
"Helsinki Kaisaniemi","2020","4","3","04:00","3.6","7","227","976.8"
"Helsinki Kaisaniemi","2020","4","3","05:00","2","8.3","236","976.6"
"Helsinki Kaisaniemi","2020","4","3","06:00","1","3.4","246","975.8"
"Helsinki Kaisaniemi","2020","4","3","07:00","1","5.3","231","975.3"
"Helsinki Kaisaniemi","2020","4","3","08:00","1.4","6.4","242","975.9"
"Helsinki Kaisaniemi","2020","4","3","09:00","2.1","5.1","245","976.4"
"Helsinki Kaisaniemi","2020","4","3","10:00","3.2","5.5","234","976.3"
"Helsinki Kaisaniemi","2020","4","3","11:00","2.9","5.3","229","976"
"Helsinki Kaisaniemi","2020","4","3","12:00","1.6","5.8","222","976.2"
"Helsinki Kaisaniemi","2020","4","3","13:00","0.9","3.3","244","976.4"
"Helsinki Kaisaniemi","2020","4","3","14:00","2.3","4.4","300","978"
"Helsinki Kaisaniemi","2020","4","3","15:00","3.7","6.8","301","980.7"
"Helsinki Kaisaniemi","2020","4","3","16:00","5.1","8.8","305","983.1"
"Helsinki Kaisaniemi","2020","4","3","17:00","5.2","7.5","304","985.5"
"Helsinki Kaisaniemi","2020","4","3","18:00","4.6","7.8","298","988.1"
"Helsinki Kaisaniemi","2020","4","3","19:00","3.4","8.6","294","990.9"
"Helsinki Kaisaniemi","2020","4","3","20:00","2.6","7.3","297","992.8"
"Helsinki Kaisaniemi","2020","4","3","21:00","1.7","7.5","297","994.8"
"Helsinki Kaisaniemi","2020","4","3","22:00","1.7","5.2","297","996.1"
"Helsinki Kaisaniemi","2020","4","3","23:00","1.6","5.4","284","997.4"
"Helsinki Kaisaniemi","2020","4","4","00:00","1.2","5.4","284","998.5"
"Helsinki Kaisaniemi","2020","4","4","01:00","0.7","4.6","281","999.6"
"Helsinki Kaisaniemi","2020","4","4","02:00","0.6","4.1","280","1000.6"
"Helsinki Kaisaniemi","2020","4","4","03:00","0.3","3.4","273","1001.6"
"Helsinki Kaisaniemi","2020","4","4","04:00","0.2","3.8","280","1002.6"
"Helsinki Kaisaniemi","2020","4","4","05:00","0.2","4.1","285","1003.5"
"Helsinki Kaisaniemi","2020","4","4","06:00","0.2","4.2","283","1004.6"
"Helsinki Kaisaniemi","2020","4","4","07:00","0","4","284","1005.8"
"Helsinki Kaisaniemi","2020","4","4","08:00","0.1","3.7","282","1006.8"
"Helsinki Kaisaniemi","2020","4","4","09:00","1.2","4.2","279","1007.9"
"Helsinki Kaisaniemi","2020","4","4","10:00","2.1","5.1","287","1008.9"
"Helsinki Kaisaniemi","2020","4","4","11:00","3.1","5.3","287","1009.8"
"Helsinki Kaisaniemi","2020","4","4","12:00","4.1","6.2","275","1010.6"
"Helsinki Kaisaniemi","2020","4","4","13:00","5.1","5.9","277","1011.3"
"Helsinki Kaisaniemi","2020","4","4","14:00","5.9","6.3","272","1011.9"
"Helsinki Kaisaniemi","2020","4","4","15:00","6.5","6.6","267","1012.5"
"Helsinki Kaisaniemi","2020","4","4","16:00","6.3","6.8","263","1012.9"
"Helsinki Kaisaniemi","2020","4","4","17:00","5.4","5.5","287","1013.4"
"Helsinki Kaisaniemi","2020","4","4","18:00","5.7","5.9","267","1013.7"
"Helsinki Kaisaniemi","2020","4","4","19:00","5.5","6.3","272","1014.2"
"Helsinki Kaisaniemi","2020","4","4","20:00","5","6.1","283","1015"
"Helsinki Kaisaniemi","2020","4","4","21:00","3.8","5.9","281","1016.2"
"Helsinki Kaisaniemi","2020","4","4","22:00","3","4.9","284","1017.3"
"Helsinki Kaisaniemi","2020","4","4","23:00","2.3","3.6","290","1018.3"
"Helsinki Kaisaniemi","2020","4","5","00:00","1.6","3.4","286","1019.1"
"Helsinki Kaisaniemi","2020","4","5","01:00","1","3.3","292","1020"
"Helsinki Kaisaniemi","2020","4","5","02:00","0.8","3.7","285","1020.9"
"Helsinki Kaisaniemi","2020","4","5","03:00","0.3","3.7","288","1021.6"
"Helsinki Kaisaniemi","2020","4","5","04:00","-0.2","3.4","288","1022.5"
"Helsinki Kaisaniemi","2020","4","5","05:00","-0.5","3.5","295","1023.2"
"Helsinki Kaisaniemi","2020","4","5","06:00","-0.5","3.7","294","1023.9"
"Helsinki Kaisaniemi","2020","4","5","07:00","-0.7","3.1","296","1024.7"
"Helsinki Kaisaniemi","2020","4","5","08:00","-0.5","3.2","299","1025.8"
"Helsinki Kaisaniemi","2020","4","5","09:00","1","3.9","303","1026.5"
"Helsinki Kaisaniemi","2020","4","5","10:00","2.5","5.3","310","1027.3"
"Helsinki Kaisaniemi","2020","4","5","11:00","3.4","6.6","315","1028"
"Helsinki Kaisaniemi","2020","4","5","12:00","4.3","6.2","310","1028.6"
"Helsinki Kaisaniemi","2020","4","5","13:00","5.3","5.7","306","1029"
"Helsinki Kaisaniemi","2020","4","5","14:00","5.7","7","299","1029.3"
"Helsinki Kaisaniemi","2020","4","5","15:00","6.4","7.3","306","1029.5"
"Helsinki Kaisaniemi","2020","4","5","16:00","6.7","5.9","296","1029.5"
"Helsinki Kaisaniemi","2020","4","5","17:00","7.3","4.9","299","1029.2"
"Helsinki Kaisaniemi","2020","4","5","18:00","7.7","4.1","286","1029.1"
"Helsinki Kaisaniemi","2020","4","5","19:00","7.4","4.7","293","1029"
"Helsinki Kaisaniemi","2020","4","5","20:00","6.5","4","288","1029.1"
"Helsinki Kaisaniemi","2020","4","5","21:00","5.7","4.5","281","1029.3"
"Helsinki Kaisaniemi","2020","4","5","22:00","4.2","2.5","282","1029.6"
"Helsinki Kaisaniemi","2020","4","5","23:00","3.6","1.2","281","1029.7"
"Helsinki Kaisaniemi","2020","4","6","00:00","3.1","1.6","264","1029.8"
"Helsinki Kaisaniemi","2020","4","6","01:00","2.7","2.4","266","1030"
"Helsinki Kaisaniemi","2020","4","6","02:00","2.6","2.2","258","1029.9"
"Helsinki Kaisaniemi","2020","4","6","03:00","3.1","1.7","248","1029.8"
"Helsinki Kaisaniemi","2020","4","6","04:00","3.4","2.6","225","1029.6"
"Helsinki Kaisaniemi","2020","4","6","05:00","3.3","2.8","213","1029.4"
"Helsinki Kaisaniemi","2020","4","6","06:00","3.3","3","202","1029.3"
"Helsinki Kaisaniemi","2020","4","6","07:00","3.5","3.5","210","1029.1"
"Helsinki Kaisaniemi","2020","4","6","08:00","3.8","3.5","222","1028.9"
"Helsinki Kaisaniemi","2020","4","6","09:00","4.1","3.1","241","1028.9"
"Helsinki Kaisaniemi","2020","4","6","10:00","4.5","3.1","243","1029"
"Helsinki Kaisaniemi","2020","4","6","11:00","5.2","2.8","238","1029.2"
"Helsinki Kaisaniemi","2020","4","6","12:00","6","2.8","230","1029.3"
"Helsinki Kaisaniemi","2020","4","6","13:00","7","3.1","222","1029.4"
"Helsinki Kaisaniemi","2020","4","6","14:00","7.7","4.4","222","1029.4"
"Helsinki Kaisaniemi","2020","4","6","15:00","7.4","5.1","220","1029.3"
"Helsinki Kaisaniemi","2020","4","6","16:00","7.4","4.4","217","1029.1"
"Helsinki Kaisaniemi","2020","4","6","17:00","7.7","4","217","1028.7"
"Helsinki Kaisaniemi","2020","4","6","18:00","7.6","5.7","218","1028.5"
"Helsinki Kaisaniemi","2020","4","6","19:00","7.7","4.1","218","1028.4"
"Helsinki Kaisaniemi","2020","4","6","20:00","7.9","3.4","234","1028.3"
"Helsinki Kaisaniemi","2020","4","6","21:00","7.6","2.8","243","1028.3"
"Helsinki Kaisaniemi","2020","4","6","22:00","7.1","2.8","242","1028.2"
"Helsinki Kaisaniemi","2020","4","6","23:00","6.2","2.1","236","1028.1"
"Helsinki Kaisaniemi","2020","4","7","00:00","5.2","2.7","206","1027.9"
"Helsinki Kaisaniemi","2020","4","7","01:00","5.6","3.4","217","1027.6"
"Helsinki Kaisaniemi","2020","4","7","02:00","5.8","3.6","223","1027.1"
"Helsinki Kaisaniemi","2020","4","7","03:00","5.7","3.1","212","1026.4"
"Helsinki Kaisaniemi","2020","4","7","04:00","5.3","3.4","180","1025.4"
"Helsinki Kaisaniemi","2020","4","7","05:00","5.3","4.4","187","1024.4"
"Helsinki Kaisaniemi","2020","4","7","06:00","5.7","4.3","211","1023.6"
"Helsinki Kaisaniemi","2020","4","7","07:00","5.4","4.2","210","1022.9"
"Helsinki Kaisaniemi","2020","4","7","08:00","5.5","3.6","211","1022.2"
"Helsinki Kaisaniemi","2020","4","7","09:00","6.4","3.9","211","1021.4"
"Helsinki Kaisaniemi","2020","4","7","10:00","6.8","4.4","217","1020.8"
"Helsinki Kaisaniemi","2020","4","7","11:00","7.4","5.2","215","1020"
"Helsinki Kaisaniemi","2020","4","7","12:00","8.3","6.5","216","1019.2"
"Helsinki Kaisaniemi","2020","4","7","13:00","9.1","6.6","221","1018.5"
"Helsinki Kaisaniemi","2020","4","7","14:00","10.3","5.7","231","1017.7"
"Helsinki Kaisaniemi","2020","4","7","15:00","11","5.5","235","1017"
"Helsinki Kaisaniemi","2020","4","7","16:00","11.5","5","237","1016.6"
"Helsinki Kaisaniemi","2020","4","7","17:00","11.4","5.6","249","1015.9"
"Helsinki Kaisaniemi","2020","4","7","18:00","9.7","5.1","252","1015.6"
"Helsinki Kaisaniemi","2020","4","7","19:00","6.7","4.9","229","1015.3"
"Helsinki Kaisaniemi","2020","4","7","20:00","6","4.6","242","1014.9"
"Helsinki Kaisaniemi","2020","4","7","21:00","5.9","4.5","266","1015.1"
"Helsinki Kaisaniemi","2020","4","7","22:00","6.7","4.5","289","1015.4"
"Helsinki Kaisaniemi","2020","4","7","23:00","7.2","7.8","321","1016.3"
"Helsinki Kaisaniemi","2020","4","8","00:00","6.9","8.6","328","1017.8"
"Helsinki Kaisaniemi","2020","4","8","01:00","6.7","7.8","323","1019.3"
"Helsinki Kaisaniemi","2020","4","8","02:00","5.9","6.5","313","1020.6"
"Helsinki Kaisaniemi","2020","4","8","03:00","5.4","5.1","307","1021.9"
"Helsinki Kaisaniemi","2020","4","8","04:00","5.1","4.9","303","1023.1"
"Helsinki Kaisaniemi","2020","4","8","05:00","4.3","4.6","310","1023.9"
"Helsinki Kaisaniemi","2020","4","8","06:00","3.7","4.8","310","1024.6"
"Helsinki Kaisaniemi","2020","4","8","07:00","2.8","4","316","1024.8"
"Helsinki Kaisaniemi","2020","4","8","08:00","3.3","3","305","1025.2"
"Helsinki Kaisaniemi","2020","4","8","09:00","4.6","3.1","282","1025.3"
"Helsinki Kaisaniemi","2020","4","8","10:00","6","2.6","279","1025.3"
"Helsinki Kaisaniemi","2020","4","8","11:00","7.8","2.7","251","1025.2"
"Helsinki Kaisaniemi","2020","4","8","12:00","8.5","4.3","225","1025"
"Helsinki Kaisaniemi","2020","4","8","13:00","9","6","230","1024.4"
"Helsinki Kaisaniemi","2020","4","8","14:00","9.2","5.9","228","1023.6"
"Helsinki Kaisaniemi","2020","4","8","15:00","9","6.1","230","1022.7"
"Helsinki Kaisaniemi","2020","4","8","16:00","9.6","6.8","232","1021.5"
"Helsinki Kaisaniemi","2020","4","8","17:00","9.4","7.4","233","1020.1"
"Helsinki Kaisaniemi","2020","4","8","18:00","8.5","6.5","231","1019"
"Helsinki Kaisaniemi","2020","4","8","19:00","7.8","7","238","1017.9"
"Helsinki Kaisaniemi","2020","4","8","20:00","6.2","6.7","241","1016.9"
"Helsinki Kaisaniemi","2020","4","8","21:00","5.8","5.8","244","1016.1"
"Helsinki Kaisaniemi","2020","4","8","22:00","5.4","4.8","237","1015.2"
"Helsinki Kaisaniemi","2020","4","8","23:00","5.4","4.6","230","1014.4"
"Helsinki Kaisaniemi","2020","4","9","00:00","5.3","5.1","231","1013.4"
"Helsinki Kaisaniemi","2020","4","9","01:00","5","4.9","226","1012.1"
"Helsinki Kaisaniemi","2020","4","9","02:00","4.8","4.3","226","1010.8"
"Helsinki Kaisaniemi","2020","4","9","03:00","5","4.6","233","1009.2"
"Helsinki Kaisaniemi","2020","4","9","04:00","5.3","4.8","237","1007.8"
"Helsinki Kaisaniemi","2020","4","9","05:00","5.3","4.2","236","1006.7"
"Helsinki Kaisaniemi","2020","4","9","06:00","5.4","2.9","244","1005.9"
"Helsinki Kaisaniemi","2020","4","9","07:00","5.4","2.8","249","1005.1"
"Helsinki Kaisaniemi","2020","4","9","08:00","5.8","3.2","278","1004.8"
"Helsinki Kaisaniemi","2020","4","9","09:00","6","4.3","303","1005.1"
"Helsinki Kaisaniemi","2020","4","9","10:00","6.2","6.4","314","1005.6"
"Helsinki Kaisaniemi","2020","4","9","11:00","7","6.6","316","1005.8"
"Helsinki Kaisaniemi","2020","4","9","12:00","7.8","5.6","302","1006.2"
"Helsinki Kaisaniemi","2020","4","9","13:00","8.9","7","296","1006.5"
"Helsinki Kaisaniemi","2020","4","9","14:00","9.2","7.1","298","1006.6"
"Helsinki Kaisaniemi","2020","4","9","15:00","9.5","6.7","304","1006.9"
"Helsinki Kaisaniemi","2020","4","9","16:00","9.4","8.1","310","1007.4"
"Helsinki Kaisaniemi","2020","4","9","17:00","8.8","7.5","316","1008"
"Helsinki Kaisaniemi","2020","4","9","18:00","7.8","6.8","332","1008.7"
"Helsinki Kaisaniemi","2020","4","9","19:00","5.5","3.9","343","1009.7"
"Helsinki Kaisaniemi","2020","4","9","20:00","5.9","3","319","1010.4"
"Helsinki Kaisaniemi","2020","4","9","21:00","6.6","4.8","311","1011.1"
"Helsinki Kaisaniemi","2020","4","9","22:00","5.9","4.3","312","1012"
"Helsinki Kaisaniemi","2020","4","9","23:00","5.2","5","310","1012.8"
"Helsinki Kaisaniemi","2020","4","10","00:00","4.4","4.8","314","1013.7"
"Helsinki Kaisaniemi","2020","4","10","01:00","3.4","3.9","311","1014.4"
"Helsinki Kaisaniemi","2020","4","10","02:00","2.6","4","318","1014.8"
"Helsinki Kaisaniemi","2020","4","10","03:00","1.5","3.2","322","1015.1"
"Helsinki Kaisaniemi","2020","4","10","04:00","1.4","2.8","301","1015.3"
"Helsinki Kaisaniemi","2020","4","10","05:00","1.4","3","278","1015.3"
"Helsinki Kaisaniemi","2020","4","10","06:00","1.2","4.1","287","1015.4"
"Helsinki Kaisaniemi","2020","4","10","07:00","0.7","4","298","1015.5"
"Helsinki Kaisaniemi","2020","4","10","08:00","1.2","4.8","311","1015.7"
"Helsinki Kaisaniemi","2020","4","10","09:00","2.6","5.9","315","1016.1"
"Helsinki Kaisaniemi","2020","4","10","10:00","4.1","6.6","320","1016.6"
"Helsinki Kaisaniemi","2020","4","10","11:00","4.9","7.8","324","1016.8"
"Helsinki Kaisaniemi","2020","4","10","12:00","5.7","7.9","326","1017.4"
"Helsinki Kaisaniemi","2020","4","10","13:00","6.5","7.3","328","1017.6"
"Helsinki Kaisaniemi","2020","4","10","14:00","7.4","6.6","323","1017.5"
"Helsinki Kaisaniemi","2020","4","10","15:00","8","6","299","1017.4"
"Helsinki Kaisaniemi","2020","4","10","16:00","8.1","5.9","297","1017.2"
"Helsinki Kaisaniemi","2020","4","10","17:00","7.7","5.5","294","1016.8"
"Helsinki Kaisaniemi","2020","4","10","18:00","6.6","7.1","308","1016.8"
"Helsinki Kaisaniemi","2020","4","10","19:00","5.1","4.9","322","1016.8"
"Helsinki Kaisaniemi","2020","4","10","20:00","5.4","4.3","308","1016.6"
"Helsinki Kaisaniemi","2020","4","10","21:00","4.4","5.7","306","1017.1"
"Helsinki Kaisaniemi","2020","4","10","22:00","3.2","5.9","306","1017.7"
