"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila keskiarvo [°C]","Pilvisyys [1/8]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Tuulen suunta keskiarvo [°]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2024","4","1","00:00","7.3","Selkeää (0/8)","1001.5","97.7","4.9"
"Helsinki Kaisaniemi","2024","4","1","01:00","7.1","Selkeää (0/8)","1000.5","95","4.1"
"Helsinki Kaisaniemi","2024","4","1","02:00","6.9","Selkeää (0/8)","999.5","93.7","3.6"
"Helsinki Kaisaniemi","2024","4","1","03:00","6.8","Selkeää (1/8)","998.8","97.9","3.9"
"Helsinki Kaisaniemi","2024","4","1","04:00","6","Selkeää (0/8)","997.8","98.9","4"
"Helsinki Kaisaniemi","2024","4","1","05:00","5.4","Selkeää (0/8)","997.1","100.5","2.8"
"Helsinki Kaisaniemi","2024","4","1","06:00","5.4","Melko pilvistä (7/8)","996.6","105","2.5"
"Helsinki Kaisaniemi","2024","4","1","07:00","4.9","Melko pilvistä (7/8)","996.3","101.5","3.4"
"Helsinki Kaisaniemi","2024","4","1","08:00","4.6","Selkeää (0/8)","995.6","99.9","2.2"
"Helsinki Kaisaniemi","2024","4","1","09:00","5","Selkeää (0/8)","995.4","106","1.7"
"Helsinki Kaisaniemi","2024","4","1","10:00","6.8","Selkeää (0/8)","995.2","101.6","0.6"
"Helsinki Kaisaniemi","2024","4","1","11:00","8.5","Selkeää (0/8)","995.2","104.4","0.8"
"Helsinki Kaisaniemi","2024","4","1","12:00","10.4","Selkeää (0/8)","995.1","138.4","1.2"
"Helsinki Kaisaniemi","2024","4","1","13:00","9.5","Selkeää (0/8)","995.5","211.5","2.7"
"Helsinki Kaisaniemi","2024","4","1","14:00","10.1","Selkeää (0/8)","996","219.9","3.9"
"Helsinki Kaisaniemi","2024","4","1","15:00","10.2","Selkeää (0/8)","996.1","231.5","2.1"
"Helsinki Kaisaniemi","2024","4","1","16:00","10.3","Selkeää (0/8)","996.2","209.9","2.3"
"Helsinki Kaisaniemi","2024","4","1","17:00","10.5","Selkeää (0/8)","996.8","223.6","3.4"
"Helsinki Kaisaniemi","2024","4","1","18:00","9.8","Selkeää (0/8)","997.1","209.5","2"
"Helsinki Kaisaniemi","2024","4","1","19:00","7.7","Selkeää (0/8)","997.3","201","1.1"
"Helsinki Kaisaniemi","2024","4","1","20:00","5.8","Puolipilvistä (4/8)","997.9","221.8","1.5"
"Helsinki Kaisaniemi","2024","4","1","21:00","5.6","Melko pilvistä (7/8)","998.9","303.6","1.1"
"Helsinki Kaisaniemi","2024","4","1","22:00","7.4","Melko selkeää (3/8)","999.6","350.5","3.6"
"Helsinki Kaisaniemi","2024","4","1","23:00","7.8","Selkeää (0/8)","999.9","216.8","3.4"
"Helsinki Kaisaniemi","2024","4","2","00:00","7.1","Puolipilvistä (4/8)","1000.4","215.6","3.2"
"Helsinki Kaisaniemi","2024","4","2","01:00","7.2","Pilvistä (8/8)","1000.9","15.6","4.1"
"Helsinki Kaisaniemi","2024","4","2","02:00","6.7","Pilvistä (8/8)","1001.6","12.5","3.9"
"Helsinki Kaisaniemi","2024","4","2","03:00","6.1","Pilvistä (8/8)","1001.9","15.2","4.2"
"Helsinki Kaisaniemi","2024","4","2","04:00","5.6","Pilvistä (8/8)","1002","31.6","5.2"
"Helsinki Kaisaniemi","2024","4","2","05:00","5.1","Pilvistä (8/8)","1002.5","33.6","5.1"
"Helsinki Kaisaniemi","2024","4","2","06:00","4.7","Pilvistä (8/8)","1003","30.9","4.7"
"Helsinki Kaisaniemi","2024","4","2","07:00","4.2","Pilvistä (8/8)","1002.8","31.8","5.5"
"Helsinki Kaisaniemi","2024","4","2","08:00","3.8","Pilvistä (8/8)","1003.2","41.3","5"
"Helsinki Kaisaniemi","2024","4","2","09:00","3.5","Pilvistä (8/8)","1003.2","43.7","5.4"
"Helsinki Kaisaniemi","2024","4","2","10:00","3.5","Pilvistä (8/8)","1003.5","39.9","4.9"
"Helsinki Kaisaniemi","2024","4","2","11:00","3.8","Pilvistä (8/8)","1003","42.1","5.4"
"Helsinki Kaisaniemi","2024","4","2","12:00","3.9","Pilvistä (8/8)","1003.1","49.4","5.9"
"Helsinki Kaisaniemi","2024","4","2","13:00","4","Pilvistä (8/8)","1002.5","48.8","5.3"
"Helsinki Kaisaniemi","2024","4","2","14:00","4.1","Pilvistä (8/8)","1001.9","45.4","5.7"
"Helsinki Kaisaniemi","2024","4","2","15:00","3.8","Pilvistä (8/8)","1000.7","43.8","6.1"
"Helsinki Kaisaniemi","2024","4","2","16:00","3.6","Pilvistä (8/8)","1000.1","49.7","6.5"
"Helsinki Kaisaniemi","2024","4","2","17:00","3","Pilvistä (8/8)","999.6","48.3","6.3"
