"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Näkyvyys keskiarvo [m]","Ilman lämpötila keskiarvo [°C]","Tuulen suunta keskiarvo [°]","Keskituulen nopeus keskiarvo [m/s]","Pilvisyys [1/8]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]"
"Helsinki Kaisaniemi","2023","4","11","00:00","40607","2.3","79.7","0.6","Melko pilvistä (7/8)","1023.3"
"Helsinki Kaisaniemi","2023","4","11","01:00","27596","1.9","73.1","0.1","Melko pilvistä (7/8)","1023.1"
"Helsinki Kaisaniemi","2023","4","11","02:00","23666","1.3","85.7","0.9","Melko pilvistä (7/8)","1022.6"
"Helsinki Kaisaniemi","2023","4","11","03:00","24027","0.9","80.9","0.8","Selkeää (1/8)","1021.9"
"Helsinki Kaisaniemi","2023","4","11","04:00","32269","0.8","88.7","1.8","Puolipilvistä (5/8)","1021.5"
"Helsinki Kaisaniemi","2023","4","11","05:00","49484","2.4","95.7","2.8","Pilvistä (8/8)","1021"
"Helsinki Kaisaniemi","2023","4","11","06:00","50000","2.2","92.7","3.6","Melko pilvistä (7/8)","1020.6"
"Helsinki Kaisaniemi","2023","4","11","07:00","49481","2.6","90.4","3.8","Selkeää (0/8)","1019.8"
"Helsinki Kaisaniemi","2023","4","11","08:00","43464","3.6","90.1","4","Selkeää (0/8)","1019.4"
"Helsinki Kaisaniemi","2023","4","11","09:00","44023","6","100.4","4","Selkeää (0/8)","1019"
"Helsinki Kaisaniemi","2023","4","11","10:00","43703","7","101.7","4.9","Melko pilvistä (7/8)","1018.7"
"Helsinki Kaisaniemi","2023","4","11","11:00","39539","7.8","100.2","5.5","Puolipilvistä (4/8)","1018.3"
"Helsinki Kaisaniemi","2023","4","11","12:00","41176","7.5","98","5.7","Melko pilvistä (6/8)","1017.9"
"Helsinki Kaisaniemi","2023","4","11","13:00","43158","7.3","101.8","4.9","Melko pilvistä (7/8)","1017.6"
"Helsinki Kaisaniemi","2023","4","11","14:00","42053","7.5","95.4","5","Melko pilvistä (7/8)","1017.3"
"Helsinki Kaisaniemi","2023","4","11","15:00","39189","8.5","101.3","5.8","Melko selkeää (2/8)","1016.9"
