"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Tuulen suunta keskiarvo [°]","Näkyvyys keskiarvo [m]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Pilvisyys [1/8]","Ilman lämpötila keskiarvo [°C]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2021","4","15","00:00","19","50000","1027.2","Selkeää (0/8)","4.6","2.5"
"Helsinki Kaisaniemi","2021","4","15","01:00","14","50000","1027.8","Selkeää (0/8)","4.1","2"
"Helsinki Kaisaniemi","2021","4","15","02:00","13.5","50000","1028.3","Selkeää (0/8)","3.6","2.3"
"Helsinki Kaisaniemi","2021","4","15","03:00","16.1","50000","1028.7","Selkeää (0/8)","2.9","3"
"Helsinki Kaisaniemi","2021","4","15","04:00","16.2","50000","1028.9","Selkeää (0/8)","2.5","2.8"
"Helsinki Kaisaniemi","2021","4","15","05:00","19.5","50000","1029.3","Selkeää (0/8)","2.3","3"
"Helsinki Kaisaniemi","2021","4","15","06:00","12.1","50000","1029.8","Selkeää (0/8)","1.5","3.6"
"Helsinki Kaisaniemi","2021","4","15","07:00","20.3","49128","1030.3","Selkeää (0/8)","1.4","3.9"
"Helsinki Kaisaniemi","2021","4","15","08:00","24.8","46160","1030.9","Selkeää (1/8)","1.9","3.8"
"Helsinki Kaisaniemi","2021","4","15","09:00","39.5","44008","1031.4","Selkeää (0/8)","3.5","3.3"
"Helsinki Kaisaniemi","2021","4","15","10:00","59","48866","1031.7","Selkeää (0/8)","5.9","3.7"
"Helsinki Kaisaniemi","2021","4","15","11:00","60.4","47418","1031.9","Selkeää (0/8)","7.4","4.1"
"Helsinki Kaisaniemi","2021","4","15","12:00","50.6","47432","1032","Selkeää (0/8)","8.3","4.1"
"Helsinki Kaisaniemi","2021","4","15","13:00","43.6","47696","1031.7","Selkeää (0/8)","9","4.8"
"Helsinki Kaisaniemi","2021","4","15","14:00","49.5","43434","1031.3","Selkeää (0/8)","9.8","4.1"
"Helsinki Kaisaniemi","2021","4","15","15:00","130.1","44844","1031.1","Selkeää (0/8)","8.1","3.4"
"Helsinki Kaisaniemi","2021","4","15","16:00","149.8","44919","1030.8","Selkeää (0/8)","7.3","3.4"
"Helsinki Kaisaniemi","2021","4","15","17:00","163.6","49005","1030.4","Selkeää (0/8)","7.5","2.5"
"Helsinki Kaisaniemi","2021","4","15","18:00","188.8","48836","1030","Selkeää (0/8)","7.5","2.2"
"Helsinki Kaisaniemi","2021","4","15","19:00","186.7","50000","1029.7","Selkeää (0/8)","7.4","1.8"
"Helsinki Kaisaniemi","2021","4","15","20:00","133.5","50000","1029.6","Selkeää (0/8)","7","1.6"
"Helsinki Kaisaniemi","2021","4","15","21:00","87.2","50000","1029.7","Selkeää (0/8)","5.9","0.5"
"Helsinki Kaisaniemi","2021","4","15","22:00","335.7","49789","1030","Selkeää (0/8)","4.6","1.5"
"Helsinki Kaisaniemi","2021","4","15","23:00","41.4","42121","1030.3","Selkeää (0/8)","3.6","1.1"
"Helsinki Kaisaniemi","2021","4","16","00:00","29.8","39743","1030.4","Selkeää (0/8)","2.7","1.7"
"Helsinki Kaisaniemi","2021","4","16","01:00","45.2","48520","1030.4","Selkeää (0/8)","4.7","3.2"
"Helsinki Kaisaniemi","2021","4","16","02:00","51.4","50000","1030.5","Selkeää (0/8)","5","3.1"
"Helsinki Kaisaniemi","2021","4","16","03:00","37","50000","1030.4","Selkeää (0/8)","4","3.2"
"Helsinki Kaisaniemi","2021","4","16","04:00","35.8","50000","1030.4","Selkeää (0/8)","3.5","3.1"
"Helsinki Kaisaniemi","2021","4","16","05:00","34.2","50000","1030.3","Selkeää (0/8)","3.3","3.4"
"Helsinki Kaisaniemi","2021","4","16","06:00","44.2","50000","1030.2","Selkeää (0/8)","3.5","3.7"
"Helsinki Kaisaniemi","2021","4","16","07:00","37.5","49998","1030.3","Selkeää (0/8)","3","3.6"
"Helsinki Kaisaniemi","2021","4","16","08:00","47.8","48117","1030.5","Selkeää (0/8)","3.9","4"
"Helsinki Kaisaniemi","2021","4","16","09:00","54.4","46983","1030.7","Selkeää (1/8)","5.8","4.1"
"Helsinki Kaisaniemi","2021","4","16","10:00","61.5","42161","1030.8","Selkeää (0/8)","7.7","5.8"
"Helsinki Kaisaniemi","2021","4","16","11:00","72.3","38794","1030.9","Selkeää (0/8)","9.1","6.5"
"Helsinki Kaisaniemi","2021","4","16","12:00","73.6","42245","1031","Selkeää (0/8)","10.2","7.8"
