"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Tuulen suunta keskiarvo [°]","Näkyvyys keskiarvo [m]","Ilmanpaine merenpinnan tasolla keskiarvo [hPa]","Pilvisyys [1/8]","Ilman lämpötila keskiarvo [°C]","Keskituulen nopeus keskiarvo [m/s]"
"Helsinki Kaisaniemi","2023","4","15","00:00","78.1","50000","1026.7","Selkeää (0/8)","3.5","5.6"
"Helsinki Kaisaniemi","2023","4","15","01:00","87.5","50000","1026.9","Selkeää (0/8)","3.5","6.3"
"Helsinki Kaisaniemi","2023","4","15","02:00","90.3","50000","1027","Melko pilvistä (7/8)","3.4","5.9"
"Helsinki Kaisaniemi","2023","4","15","03:00","88.6","50000","1026.9","Melko pilvistä (7/8)","3.1","5.7"
"Helsinki Kaisaniemi","2023","4","15","04:00","87.1","50000","1026.9","Selkeää (0/8)","3","5.7"
"Helsinki Kaisaniemi","2023","4","15","05:00","83.9","50000","1027.1","Selkeää (0/8)","2.5","5.1"
"Helsinki Kaisaniemi","2023","4","15","06:00","77.2","50000","1027.2","Selkeää (0/8)","2.1","4.6"
"Helsinki Kaisaniemi","2023","4","15","07:00","76","50000","1027.5","Selkeää (0/8)","1.9","4.7"
"Helsinki Kaisaniemi","2023","4","15","08:00","78.4","49967","1027.7","Selkeää (0/8)","2.6","4.5"
"Helsinki Kaisaniemi","2023","4","15","09:00","84.3","49770","1027.9","Selkeää (0/8)","3.8","5.8"
"Helsinki Kaisaniemi","2023","4","15","10:00","89","48474","1028","Selkeää (0/8)","4.3","6.5"
"Helsinki Kaisaniemi","2023","4","15","11:00","91.9","49124","1028.2","Selkeää (0/8)","4.6","6.1"
"Helsinki Kaisaniemi","2023","4","15","12:00","89.2","44460","1028.4","Selkeää (0/8)","5.3","6.8"
"Helsinki Kaisaniemi","2023","4","15","13:00","97.8","45513","1028.5","Selkeää (0/8)","5.2","6.5"
"Helsinki Kaisaniemi","2023","4","15","14:00","89.4","43454","1028.5","Selkeää (0/8)","5.7","6.9"
"Helsinki Kaisaniemi","2023","4","15","15:00","93","39369","1028.4","Selkeää (0/8)","6.3","7.2"
"Helsinki Kaisaniemi","2023","4","15","16:00","96.2","44043","1028.4","Selkeää (0/8)","5.9","6.5"
"Helsinki Kaisaniemi","2023","4","15","17:00","88.2","43564","1028.2","Selkeää (0/8)","6.4","8.2"
"Helsinki Kaisaniemi","2023","4","15","18:00","86.8","44932","1028.1","Selkeää (0/8)","5.9","7.7"
"Helsinki Kaisaniemi","2023","4","15","19:00","82.7","49970","1028","Selkeää (0/8)","5.8","6.4"
