"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Otsoni [µg/m3]","Hengitettävät hiukkaset <10 µm [µg/m3]","Pienhiukkaset <2.5 µm [µg/m3]","Ilmanlaatuindeksi [1/5]"
"Helsinki Kallio 2","2020","4","15","00:00","65.2","0.7","1.4","2"
"Helsinki Kallio 2","2020","4","15","01:00","64.4","0.4","0.8","2"
"Helsinki Kallio 2","2020","4","15","02:00","62.9","1","1.6","2"
"Helsinki Kallio 2","2020","4","15","03:00","60.1","1.4","1.3","2"
"Helsinki Kallio 2","2020","4","15","04:00","63.4","0.7","0.4","2"
"Helsinki Kallio 2","2020","4","15","05:00","60.8","2","1.5","2"
"Helsinki Kallio 2","2020","4","15","06:00","60.4","1.7","0.6","2"
"Helsinki Kallio 2","2020","4","15","07:00","67.1","3.9","2.4","2"
"Helsinki Kallio 2","2020","4","15","08:00","64.3","4.6","3.5","2"
"Helsinki Kallio 2","2020","4","15","09:00","39.3","3.7","1.8","2"
"Helsinki Kallio 2","2020","4","15","10:00","47","1.8","1.1","1"
"Helsinki Kallio 2","2020","4","15","11:00","44.9","2.5","1.8","1"
"Helsinki Kallio 2","2020","4","15","12:00","-","2.9","2.8","1"
"Helsinki Kallio 2","2020","4","15","13:00","54.5","5.2","4.2","1"
"Helsinki Kallio 2","2020","4","15","14:00","57.2","4.9","4.1","1"
"Helsinki Kallio 2","2020","4","15","15:00","63.2","4.7","3.5","2"
"Helsinki Kallio 2","2020","4","15","16:00","65.9","5.1","3.7","2"
"Helsinki Kallio 2","2020","4","15","17:00","68.4","2.9","3.7","2"
"Helsinki Kallio 2","2020","4","15","18:00","70.6","4.8","5.1","2"
"Helsinki Kallio 2","2020","4","15","19:00","68.7","3.5","2.4","2"
"Helsinki Kallio 2","2020","4","15","20:00","68","2.3","1.4","2"
"Helsinki Kallio 2","2020","4","15","21:00","73.9","3.1","0.7","2"
"Helsinki Kallio 2","2020","4","15","22:00","69.7","6.2","1.4","2"
"Helsinki Kallio 2","2020","4","15","23:00","67.8","4.9","0.6","2"
"Helsinki Kallio 2","2020","4","16","00:00","64","11.8","3.2","2"
"Helsinki Kallio 2","2020","4","16","01:00","71.6","8","3.6","2"
"Helsinki Kallio 2","2020","4","16","02:00","71.7","4","1.6","2"
"Helsinki Kallio 2","2020","4","16","03:00","72","2.1","0.1","2"
"Helsinki Kallio 2","2020","4","16","04:00","77.1","-0.4","-2.1","2"
"Helsinki Kallio 2","2020","4","16","05:00","74.7","-2.2","-2.1","2"
"Helsinki Kallio 2","2020","4","16","06:00","75.4","-1.6","-1","2"
"Helsinki Kallio 2","2020","4","16","07:00","68.4","-0.1","0.4","2"
"Helsinki Kallio 2","2020","4","16","08:00","43.7","3.2","4.3","1"
"Helsinki Kallio 2","2020","4","16","09:00","38.5","6.1","6","2"
"Helsinki Kallio 2","2020","4","16","10:00","51.3","4.5","3.8","1"
"Helsinki Kallio 2","2020","4","16","11:00","45.8","6.7","6.6","1"
"Helsinki Kallio 2","2020","4","16","12:00","31.6","6.6","6.8","1"
"Helsinki Kallio 2","2020","4","16","13:00","37.2","10.2","8.5","1"
"Helsinki Kallio 2","2020","4","16","14:00","45.5","8.4","5.5","1"
"Helsinki Kallio 2","2020","4","16","15:00","51.3","7.2","6.6","1"
"Helsinki Kallio 2","2020","4","16","16:00","62.3","5.6","4.7","2"
"Helsinki Kallio 2","2020","4","16","17:00","69.6","4.2","4.5","2"
"Helsinki Kallio 2","2020","4","16","18:00","72.1","5","4.6","2"
